tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,tripduration_datetime
304,2020-03-01 04:06:06.7940,2020-03-01 04:11:11.6310,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,42406,Subscriber,1981,1,1970-01-01 05:04:00
243,2020-03-01 04:06:21.4450,2020-03-01 04:10:25.1360,3202,Newport PATH,40.7272235,-74.0337589,3639,Harborside,40.7192517,-74.034234,42555,Customer,1992,1,1970-01-01 04:03:00
439,2020-03-01 04:21:45.5210,2020-03-01 04:29:04.6330,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42113,Customer,1995,1,1970-01-01 07:19:00
372,2020-03-01 04:22:25.7240,2020-03-01 04:28:37.7960,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,3205,JC Medical Center,40.71653978099194,-74.0496379137039,42126,Customer,1996,1,1970-01-01 06:12:00
708,2020-03-01 06:38:14.9720,2020-03-01 06:50:03.9340,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42455,Customer,1969,0,1970-01-01 11:48:00
182,2020-03-01 07:28:41.5760,2020-03-01 07:31:44.3070,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42274,Subscriber,1980,1,1970-01-01 03:02:00
261,2020-03-01 07:28:55.3540,2020-03-01 07:33:16.8520,3267,Morris Canal,40.7124188237569,-74.03852552175522,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42603,Subscriber,1960,1,1970-01-01 04:21:00
164,2020-03-01 07:39:00.4180,2020-03-01 07:41:44.8000,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42323,Subscriber,1967,1,1970-01-01 02:44:00
193,2020-03-01 07:44:15.3950,2020-03-01 07:47:28.5560,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.046304543,42258,Subscriber,1981,1,1970-01-01 03:13:00
561,2020-03-01 07:48:35.9410,2020-03-01 07:57:57.3470,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3211,Newark Ave,40.72152515,-74.046304543,42606,Subscriber,1987,1,1970-01-01 09:21:00
1192,2020-03-01 07:54:02.6850,2020-03-01 08:13:55.5240,3211,Newark Ave,40.72152515,-74.046304543,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42255,Subscriber,1968,1,1970-01-01 19:52:00
202,2020-03-01 08:06:50.3500,2020-03-01 08:10:13.0120,3203,Hamilton Park,40.727595966,-74.044247311,3211,Newark Ave,40.72152515,-74.046304543,42280,Subscriber,1992,2,1970-01-01 03:22:00
588,2020-03-01 08:07:56.4790,2020-03-01 08:17:44.8120,3203,Hamilton Park,40.727595966,-74.044247311,3639,Harborside,40.7192517,-74.034234,42381,Subscriber,1970,2,1970-01-01 09:48:00
172,2020-03-01 08:17:11.1180,2020-03-01 08:20:03.1960,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42545,Subscriber,1990,1,1970-01-01 02:52:00
300,2020-03-01 08:20:48.0470,2020-03-01 08:25:48.2410,3209,Brunswick St,40.7241765,-74.0506564,3187,Warren St,40.7211236,-74.03805095,42541,Subscriber,1982,1,1970-01-01 05:00:00
213,2020-03-01 08:21:49.9860,2020-03-01 08:25:23.1200,3211,Newark Ave,40.72152515,-74.046304543,3203,Hamilton Park,40.727595966,-74.044247311,42606,Subscriber,1992,2,1970-01-01 03:33:00
257,2020-03-01 08:26:30.0230,2020-03-01 08:30:47.5820,3203,Hamilton Park,40.727595966,-74.044247311,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42580,Subscriber,1988,1,1970-01-01 04:17:00
278,2020-03-01 08:40:57.2540,2020-03-01 08:45:35.4530,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42490,Subscriber,1988,2,1970-01-01 04:38:00
242,2020-03-01 08:48:11.0320,2020-03-01 08:52:13.3130,3203,Hamilton Park,40.727595966,-74.044247311,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42595,Subscriber,1983,1,1970-01-01 04:02:00
319,2020-03-01 08:48:13.0130,2020-03-01 08:53:32.1770,3280,Astor Place,40.71928220070702,-74.07126188278198,3195,Sip Ave,40.73089709786179,-74.06391263008118,42235,Subscriber,1988,1,1970-01-01 05:19:00
160,2020-03-01 08:49:54.1590,2020-03-01 08:52:34.5530,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42368,Subscriber,1969,0,1970-01-01 02:40:00
192,2020-03-01 08:51:16.5460,2020-03-01 08:54:29.5270,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42298,Subscriber,1984,1,1970-01-01 03:12:00
290,2020-03-01 08:57:19.4270,2020-03-01 09:02:10.0930,3639,Harborside,40.7192517,-74.034234,3276,Marin Light Rail,40.71458403535893,-74.04281705617905,42550,Subscriber,1963,1,1970-01-01 04:50:00
208,2020-03-01 08:59:29.4200,2020-03-01 09:02:57.7910,3195,Sip Ave,40.73089709786179,-74.06391263008118,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,42235,Subscriber,1980,0,1970-01-01 03:28:00
523,2020-03-01 08:59:43.2950,2020-03-01 09:08:27.1310,3638,Washington St,40.7242941,-74.0354826,3483,Montgomery St,40.71942,-74.05099,42247,Subscriber,1992,1,1970-01-01 08:43:00
574,2020-03-01 09:01:32.1590,2020-03-01 09:11:06.5650,3196,Riverview Park,40.7443187,-74.0439909,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,42232,Subscriber,1968,1,1970-01-01 09:34:00
315,2020-03-01 09:07:11.8230,2020-03-01 09:12:26.8340,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3791,Hoboken Ave at Monmouth St,40.73520838045357,-74.04696375131607,42312,Subscriber,1983,1,1970-01-01 05:15:00
184,2020-03-01 09:10:53.0950,2020-03-01 09:13:58.0680,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3211,Newark Ave,40.72152515,-74.046304543,42227,Subscriber,1976,2,1970-01-01 03:04:00
262,2020-03-01 09:16:01.0950,2020-03-01 09:20:23.7660,3638,Washington St,40.7242941,-74.0354826,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42350,Subscriber,1991,1,1970-01-01 04:22:00
1416,2020-03-01 09:17:54.3530,2020-03-01 09:41:30.7660,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42143,Subscriber,1989,1,1970-01-01 23:36:00
144,2020-03-01 09:18:14.9900,2020-03-01 09:20:39.7390,3213,Van Vorst Park,40.71848892,-74.047726625,3186,Grove St PATH,40.71958611647166,-74.04311746358871,42270,Subscriber,1977,1,1970-01-01 02:24:00
269,2020-03-01 09:18:15.1560,2020-03-01 09:22:44.6250,3269,Brunswick & 6th,40.72601172964625,-74.05038893222809,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42520,Subscriber,1989,2,1970-01-01 04:29:00
1400,2020-03-01 09:18:17.5600,2020-03-01 09:41:38.3940,3677,Glenwood Ave,40.72755146730012,-74.07106071710587,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42429,Customer,1969,0,1970-01-01 23:20:00
649,2020-03-01 09:20:24.0090,2020-03-01 09:31:13.2940,3681,Grand St,40.71517767732029,-74.03768330812454,3203,Hamilton Park,40.727595966,-74.044247311,42192,Subscriber,1993,1,1970-01-01 10:49:00
567,2020-03-01 09:20:28.9450,2020-03-01 09:29:56.1730,3678,Fairmount Ave,40.72572613742557,-74.07195925712585,3220,5 Corners Library,40.73496102000952,-74.0595030784607,42582,Subscriber,1970,1,1970-01-01 09:27:00
450,2020-03-01 09:22:37.7430,2020-03-01 09:30:07.8040,3199,Newport Pkwy,40.7287448,-74.0321082,3273,Manila & 1st,40.72165072487999,-74.04288411140442,42115,Customer,1995,2,1970-01-01 07:30:00
113,2020-03-01 09:24:06.7970,2020-03-01 09:26:00.7950,3275,Columbus Drive,40.71835519823214,-74.03891444206238,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42314,Subscriber,1994,1,1970-01-01 01:53:00
457,2020-03-01 09:24:07.1590,2020-03-01 09:31:44.5560,3639,Harborside,40.7192517,-74.034234,3203,Hamilton Park,40.727595966,-74.044247311,42381,Subscriber,1970,2,1970-01-01 07:37:00
584,2020-03-01 09:26:11.9980,2020-03-01 09:35:56.4400,3187,Warren St,40.7211236,-74.03805095,3209,Brunswick St,40.7241765,-74.0506564,42184,Subscriber,1982,1,1970-01-01 09:44:00
656,2020-03-01 09:29:03.2770,2020-03-01 09:40:00.1630,3203,Hamilton Park,40.727595966,-74.044247311,3639,Harborside,40.7192517,-74.034234,42363,Subscriber,1971,2,1970-01-01 10:56:00
451,2020-03-01 09:30:03.6510,2020-03-01 09:37:35.5670,3278,Monmouth and 6th,40.72568548362901,-74.04879033565521,3272,Jersey & 3rd,40.72333158646436,-74.04595255851744,42211,Subscriber,1989,1,1970-01-01 07:31:00
202,2020-03-01 09:32:37.0310,2020-03-01 09:35:59.2290,3205,JC Medical Center,40.71653978099194,-74.0496379137039,3185,City Hall,40.7177325,-74.043845,42486,Subscriber,1981,1,1970-01-01 03:22:00
